ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
185.162.231.23,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:58:05Z
185.162.231.73,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:58:05Z
185.162.230.58,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:58:03Z
185.162.229.216,80,AM,Armenia,,,,,,HTTP,Anonymous,91,20,2026-06-21T06:58:03Z
185.162.229.141,80,AM,Armenia,,,,,,HTTP,Anonymous,90,0,2026-06-21T06:57:04Z
185.162.229.172,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:57:04Z
185.162.229.118,80,AM,Armenia,,,,,,HTTP,Anonymous,91,20,2026-06-21T06:57:03Z
185.162.228.212,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:57:03Z
185.162.231.66,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:57:02Z
185.162.231.48,80,AM,Armenia,,,,,,HTTP,Anonymous,90,20,2026-06-21T06:57:02Z
