ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
164.38.155.95,80,GB,United Kingdom,,,,,,HTTP,Anonymous,87,20,2026-08-13T04:12:05Z
91.193.58.159,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-13T04:12:05Z
194.36.55.36,80,GB,United Kingdom,,,,,,HTTP,Anonymous,99,20,2026-08-13T04:12:05Z
164.38.155.38,80,GB,United Kingdom,,,,,,HTTP,Anonymous,99,20,2026-08-13T04:12:04Z
91.193.59.24,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-13T04:12:04Z
91.193.58.237,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-13T04:12:04Z
194.36.55.192,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-13T04:12:04Z
104.239.72.35,80,GB,United Kingdom,,,,,,HTTP,Anonymous,99,20,2026-08-13T04:12:03Z
91.193.58.192,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-13T04:12:03Z
91.193.58.3,80,GB,United Kingdom,,,,,,HTTP,Anonymous,100,20,2026-08-13T04:12:03Z
