ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
45.12.31.233,80,RO,Romania,,,,,,HTTP,Anonymous,91,0,2026-06-13T06:24:05Z
45.12.30.250,80,RO,Romania,,,,,,HTTP,Anonymous,90,20,2026-06-13T06:24:05Z
45.12.31.224,80,RO,Romania,,,,,,HTTP,Anonymous,90,20,2026-06-13T06:24:03Z
45.12.30.177,80,RO,Romania,,,,,,HTTP,Anonymous,90,0,2026-06-13T06:24:03Z
45.12.31.59,80,RO,Romania,,,,,,HTTP,Anonymous,90,20,2026-06-13T06:24:03Z
45.12.30.172,80,RO,Romania,,,,,,HTTP,Anonymous,90,20,2026-06-13T06:24:03Z
45.12.30.253,80,RO,Romania,,,,,,HTTP,Anonymous,90,20,2026-06-13T06:24:03Z
45.12.31.94,80,RO,Romania,,,,,,HTTP,Anonymous,90,20,2026-06-13T06:24:03Z
45.12.30.233,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-06-13T06:24:03Z
45.12.30.244,80,RO,Romania,,,,,,HTTP,Anonymous,91,20,2026-06-13T06:24:02Z
