ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
172.67.156.228,80,US,United States,,,,,,HTTP,Anonymous,83,20,2026-06-19T07:18:03Z
173.245.59.41,80,US,United States,,,,,,HTTP,Anonymous,81,20,2026-06-19T07:18:03Z
172.67.81.196,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:03Z
159.112.235.59,80,US,United States,,,,,,HTTP,Anonymous,85,0,2026-06-19T07:18:03Z
172.64.85.166,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:03Z
172.67.177.124,80,US,United States,,,,,,HTTP,Anonymous,91,20,2026-06-19T07:18:03Z
172.67.190.29,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:03Z
69.84.182.46,80,US,United States,,,,,,HTTP,Anonymous,86,20,2026-06-19T07:18:03Z
172.67.181.216,80,US,United States,,,,,,HTTP,Anonymous,93,20,2026-06-19T07:18:03Z
103.21.244.151,80,US,United States,Ashburn,,,,,HTTP,Anonymous,90,20,2026-06-19T07:18:03Z
66.235.200.236,80,US,United States,,,,,,HTTP,Anonymous,89,20,2026-06-19T07:18:03Z
172.67.141.154,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:03Z
159.112.235.2,80,US,United States,,,,,,HTTP,Anonymous,87,20,2026-06-19T07:18:03Z
172.67.177.7,80,US,United States,,,,,,HTTP,Anonymous,91,20,2026-06-19T07:18:03Z
172.67.134.16,80,US,United States,,,,,,HTTP,Anonymous,89,20,2026-06-19T07:18:03Z
141.193.213.137,80,US,United States,,,,,,HTTP,Anonymous,85,20,2026-06-19T07:18:03Z
141.193.213.174,80,US,United States,,,,,,HTTP,Anonymous,89,20,2026-06-19T07:18:02Z
172.67.176.57,80,US,United States,,,,,,HTTP,Anonymous,91,20,2026-06-19T07:18:02Z
63.141.128.52,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:01Z
172.67.182.104,80,US,United States,,,,,,HTTP,Anonymous,94,20,2026-06-19T07:18:01Z
103.21.244.116,80,US,United States,Ashburn,,,,,HTTP,Anonymous,90,20,2026-06-19T07:18:01Z
172.67.163.71,80,US,United States,,,,,,HTTP,Anonymous,91,0,2026-06-19T07:18:01Z
172.64.149.52,80,US,United States,,,,,,HTTP,Anonymous,89,20,2026-06-19T07:18:01Z
172.67.110.131,80,US,United States,,,,,,HTTP,Anonymous,89,0,2026-06-19T07:18:01Z
172.67.191.224,80,US,United States,,,,,,HTTP,Anonymous,90,20,2026-06-19T07:18:01Z
172.67.160.206,80,US,United States,,,,,,HTTP,Anonymous,80,20,2026-06-19T07:18:01Z
172.67.177.99,80,US,United States,,,,,,HTTP,Anonymous,91,20,2026-06-19T07:18:01Z
63.141.128.155,80,US,United States,,,,,,HTTP,Anonymous,85,20,2026-06-19T07:18:01Z
172.67.182.100,80,US,United States,,,,,,HTTP,Anonymous,94,20,2026-06-19T07:18:01Z
172.64.154.232,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:01Z
141.193.213.40,80,US,United States,,,,,,HTTP,Anonymous,87,20,2026-06-19T07:18:01Z
172.67.141.119,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:01Z
172.67.191.134,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:18:01Z
170.114.46.140,80,US,United States,,,,,,HTTP,Anonymous,100,20,2026-06-19T07:18:01Z
66.235.200.153,80,US,United States,,,,,,HTTP,Anonymous,88,20,2026-06-19T07:17:03Z
172.66.0.96,80,US,United States,,,,,,HTTP,Anonymous,80,0,2026-06-19T07:17:03Z
