ip,port,country_code,country_name,city,region,asn,asn_name,org,protocols,anonymity,uptime,delay_ms,last_seen
185.230.190.195,3128,FI,Finland,Helsinki,,,,,HTTPS,Elite,62,5100,2026-07-15T04:59:47Z
85.198.100.232,3128,RU,Russian Federation,Moscow,,,,,HTTPS,Elite,27,5100,2026-07-15T04:59:46Z
43.161.239.147,8888,HK,Hong Kong,Hong Kong,,,,,HTTP|HTTPS,Elite,62,1880,2026-07-15T04:59:43Z
103.43.191.71,8888,SG,Singapore,,,,,,HTTP|HTTPS,Elite,80,3500,2026-07-15T04:59:41Z
159.195.49.27,8888,DE,Germany,Nuremberg,,,,,HTTPS,Elite,90,1820,2026-07-15T04:59:39Z
87.247.174.160,2080,IR,Iran,,,,,,HTTP|HTTPS,Elite,14,1560,2026-07-15T04:59:37Z
144.124.227.88,3128,NL,Netherlands,Amsterdam,,,,,HTTP|HTTPS,Elite,49,560,2026-07-15T04:59:36Z
113.176.92.71,3128,VN,Vietnam,Bien Hoa,,,,,HTTP|HTTPS,Anonymous,33,1340,2026-07-15T04:59:36Z
125.209.108.83,3128,PK,Pakistan,,,,,,HTTPS,Elite,88,1500,2026-07-15T04:59:36Z
212.58.132.5,8888,US,United States,,,,,,HTTP|HTTPS,Anonymous,79,960,2026-07-15T04:59:35Z
2.78.60.10,3129,KZ,Kazakstan,Almaty,,,,,HTTP|HTTPS,Anonymous,95,1220,2026-07-15T04:59:35Z
113.160.132.26,8080,VN,Vietnam,Bac Ninh,,,,,HTTP|HTTPS,Elite,89,1200,2026-07-15T04:59:35Z
117.236.124.166,3128,IN,India,,,,,,HTTP|HTTPS,Elite,91,940,2026-07-15T04:59:35Z
103.157.200.126,3128,PK,Pakistan,,,,,,HTTP|HTTPS,Anonymous,51,1260,2026-07-15T04:59:35Z
43.99.100.108,3128,HK,Hong Kong,Hong Kong,,,,,HTTP|HTTPS,Elite,96,1080,2026-07-15T04:59:35Z
